date,open,high,low,close,volume,amount
2020-01-02,3066.3350,3098.1000,3066.3350,3085.1970,29247020800,327197122560.0000
2020-01-03,3089.0220,3093.8190,3074.5170,3083.7850,26149666816,289991708672.0000
2020-01-06,3070.9080,3107.2030,3065.3080,3083.4080,31257584128,331182551040.0000
2020-01-07,3085.4880,3105.4500,3084.3290,3104.8010,27658311168,288159227904.0000
2020-01-08,3094.2380,3094.2380,3059.1310,3066.8920,29787255296,306517393408.0000
2020-01-09,3082.6390,3097.3290,3080.1310,3094.8810,24343564800,271716020224.0000
2020-01-10,3102.2930,3105.2240,3081.3960,3092.2900,21044246272,241555668992.0000
2020-01-13,3091.4930,3115.5690,3075.3830,3115.5690,21062100480,258524057600.0000
2020-01-14,3120.6660,3127.1690,3105.6040,3106.8200,22997377024,271542439936.0000
2020-01-15,3103.1740,3107.9420,3082.0420,3090.0370,20231302400,232913444864.0000
2020-01-16,3095.7340,3096.3710,3070.8840,3074.0810,20337547520,236843360256.0000
2020-01-17,3081.4640,3091.9510,3067.2520,3075.4950,19030429952,242273046528.0000
2020-01-20,3082.1130,3096.3100,3070.4800,3095.7870,21049334016,271122456576.0000
2020-01-21,3085.7890,3085.7890,3051.2300,3052.1410,23483073792,286268096512.0000
2020-01-22,3038.4860,3069.2520,3006.2670,3060.7540,22385286400,278456922112.0000
2020-01-23,3037.9520,3045.0400,2955.3460,2976.5280,27276323328,327490359296.0000
2020-02-03,2716.6970,2766.5770,2716.6970,2746.6050,21591210240,257019596800.0000
2020-02-04,2685.2690,2786.1640,2685.2690,2783.2870,36404620032,374068465664.0000
2020-02-05,2792.3710,2842.7420,2778.8640,2818.0870,30976182272,349184114688.0000
2020-02-06,2826.8850,2876.5870,2807.6090,2866.5090,31639214336,358582591488.0000
2020-02-07,2858.9320,2875.9630,2838.7700,2875.9630,30947964160,362384162816.0000
2020-02-10,2860.4990,2891.8470,2851.0500,2890.4870,29492978432,341520400384.0000
2020-02-11,2894.5410,2913.8150,2882.2420,2901.6740,26916833536,302956847104.0000
2020-02-12,2895.5560,2926.8990,2892.4240,2926.8990,24873342976,297534418944.0000
2020-02-13,2927.1440,2935.4060,2901.2420,2906.0730,27480484352,334526328832.0000
2020-02-14,2899.8650,2926.9420,2899.5730,2917.0070,25065062656,308080369664.0000
2020-02-17,2924.9910,2983.6370,2924.9910,2983.6220,31319800832,367014338560.0000
2020-02-18,2981.4090,2990.6000,2960.7750,2984.9710,31166591232,374998560768.0000
2020-02-19,2979.5220,2998.2710,2971.8210,2975.4010,31514115072,381331161088.0000
2020-02-20,2981.8800,3031.3700,2968.4450,3030.1540,34573288192,413761363968.0000
2020-02-21,3022.2450,3058.8980,3020.1410,3039.6690,36455727616,445062078464.0000
2020-02-24,3027.8920,3042.1820,3007.3550,3031.2330,37043004416,451601362944.0000
2020-02-25,2982.0690,3016.9450,2943.7160,3013.0500,44162276096,513128644608.0000
2020-02-26,2978.4190,3028.7780,2974.9420,2987.9280,46904955136,495341449216.0000
2020-02-27,2992.4910,3009.4570,2980.4770,2991.3280,35052365824,395955642368.0000
2020-02-28,2924.6400,2948.1260,2878.5440,2880.3030,40121691392,432657776640.0000
2020-03-02,2899.3100,2982.5060,2899.3100,2970.9310,36733336832,397244203008.0000
2020-03-03,3006.8880,3026.8420,2976.6230,2992.8960,41010804736,447053680640.0000
2020-03-04,2981.8060,3012.0030,2974.3580,3011.6650,35333827840,389893918720.0000
2020-03-05,3036.1540,3074.2570,3022.9260,3071.6770,44542580736,482770472960.0000
2020-03-06,3039.9390,3052.4430,3029.4630,3034.5110,36206153216,377388544000.0000
2020-03-09,2987.1805,2989.2051,2940.7138,2943.2907,41456073600,438143854609.8000
2020-03-10,2918.9347,3000.2963,2904.7989,2996.7618,39329664800,425017184790.9000
2020-03-11,3001.7616,3010.0286,2968.5174,2968.5174,35247097000,378766618968.3000
2020-03-12,2936.0163,2944.4651,2906.2838,2923.4856,30777845700,328209202377.8000
2020-03-13,2804.2322,2910.8812,2799.9841,2887.4265,36645043600,393019665228.0000
2020-03-16,2897.3009,2898.0349,2784.6616,2789.2537,35187866500,375627000794.2000
2020-03-17,2796.2840,2826.9068,2715.2213,2779.6407,30614967700,323012822799.1000
2020-03-18,2792.3221,2815.8737,2728.7563,2728.7563,29115985200,318611391559.4000
2020-03-19,2719.4063,2736.8200,2646.8048,2702.1296,30230274700,330518008489.8000
2020-03-20,2727.0186,2751.8964,2702.4933,2745.6182,25201950700,281583369664.4000
2020-03-23,2677.5910,2703.3295,2656.5008,2660.1674,24982025000,268423241973.7000
2020-03-24,2703.0193,2723.4066,2667.1333,2722.4381,25702193000,278999306643.2000
2020-03-25,2775.3032,2788.6354,2757.8016,2781.5913,27314446600,293191204398.7000
2020-03-26,2761.8961,2788.5038,2753.4282,2764.9109,23408402200,248279785000.7000
2020-03-27,2792.9843,2805.5479,2771.7563,2772.2033,24076406600,253630725892.3000
2020-03-30,2739.7191,2759.0989,2723.0543,2747.2138,23970660400,250687144232.8000
2020-03-31,2767.3072,2771.1683,2743.1154,2750.2962,21859867400,224271061569.1000
2020-04-01,2743.5409,2773.3641,2731.0794,2734.5215,21725342700,225624646571.6000
2020-04-02,2720.2284,2780.6379,2719.9043,2780.6379,21786460000,233111575711.2000
2020-04-03,2773.5764,2780.5868,2754.0731,2763.9874,20083740400,214062212038.2000
2020-04-07,2806.9676,2823.2767,2801.8386,2820.7634,27019818600,286627794328.1000
2020-04-08,2805.9166,2823.2139,2800.2963,2815.3686,24351530500,253159668052.3000
2020-04-09,2825.8393,2832.3950,2820.4326,2825.9036,23818484300,247392988028.6000
2020-04-10,2827.1873,2833.0148,2789.9756,2796.6312,23345476800,246376307236.7000
2020-04-13,2784.5979,2792.8906,2774.0808,2783.0476,17712455400,184120284139.7000
2020-04-14,2794.8010,2827.2981,2789.4279,2827.2830,20269656900,223605697288.9000
2020-04-15,2826.6618,2829.7503,2808.7039,2811.1741,20562114600,231631632235.0000
2020-04-16,2798.4295,2823.3382,2796.8388,2819.9350,20300377300,222432600865.7000
2020-04-17,2835.5581,2854.9599,2830.0217,2838.4945,24573675000,280025229139.5000
2020-04-20,2840.4085,2852.9900,2833.2615,2852.5528,21184707800,233759313193.0000
2020-04-21,2842.2372,2842.2372,2808.0214,2827.0133,23323587000,248688585735.6000
2020-04-22,2814.0661,2843.9804,2808.4819,2843.9804,21732000000,232796777750.0000
2020-04-23,2850.5104,2853.6357,2835.8961,2838.4994,24877903700,262662040531.8000
2020-04-24,2834.9387,2834.9387,2802.4989,2808.5293,23518507600,244122291476.8000
2020-04-27,2812.2422,2832.6662,2802.9579,2815.4947,21013098100,225293706288.5000
2020-04-28,2819.9914,2821.7450,2758.2459,2810.0243,25387274500,270534752615.1000
2020-04-29,2801.3830,2831.7642,2800.7379,2822.4424,20206180700,222720221727.9000
2020-04-30,2832.3843,2865.5900,2832.3843,2860.0822,24245527800,277440934007.1000
2020-05-06,2831.6326,2879.2634,2830.6536,2878.1402,24982661600,303890031004.9000
2020-05-07,2876.4727,2882.0222,2864.5813,2871.5232,22673695700,268607485283.6000
2020-05-08,2882.7078,2903.7967,2879.2034,2895.3444,22682207500,276562716950.3000
2020-05-11,2901.5739,2914.2838,2884.3806,2894.8020,22512041000,271930641512.4000
2020-05-12,2894.6171,2897.9018,2871.2300,2891.5564,19708298500,238476218839.0000
2020-05-13,2882.9552,2900.2587,2875.5354,2898.0495,18506131000,223866906923.5000
2020-05-14,2887.0577,2887.0577,2869.1832,2870.3422,19777620200,237336974703.0000
2020-05-15,2880.7067,2884.2199,2863.3698,2868.4587,18898359200,246878191080.5000
2020-05-18,2872.5244,2889.9795,2862.2709,2875.4176,22602288200,289089595543.4000
2020-05-19,2897.6867,2900.2187,2887.5768,2898.5760,19722240500,256277803071.8000
2020-05-20,2896.4657,2896.4657,2876.1766,2883.7378,21051998500,269176553624.7000
2020-05-21,2890.7213,2891.5177,2864.2073,2867.9237,20353203800,250569937552.8000
2020-05-22,2863.0462,2863.0462,2808.0177,2813.7654,20906371200,245229603697.9000
2020-05-25,2816.2410,2821.4978,2802.4653,2817.9697,17288555700,202115352627.3000
2020-05-26,2827.8967,2848.3371,2825.9010,2846.5473,17456236900,207427833710.6000
2020-05-27,2847.3198,2848.9965,2831.9281,2836.8036,19814934300,227934395739.0000
2020-05-28,2838.2072,2861.9241,2820.1455,2846.2217,20754601900,239234260636.0000
2020-05-29,2835.5840,2855.3756,2829.6271,2852.3512,20679280400,233798996642.7000
2020-06-01,2871.9641,2917.1508,2871.9641,2915.4311,26019605000,307416215147.8000
2020-06-02,2916.3168,2926.3588,2909.1277,2921.3980,25610804900,294402745887.8000
2020-06-03,2930.3906,2942.7597,2922.6612,2923.3711,25566398000,300447817007.3000
2020-06-04,2931.8376,2932.9677,2910.7516,2919.2506,22660587300,254345984480.0000
2020-06-05,2923.1891,2930.7993,2909.1181,2930.7993,21736067300,253141142477.6000
2020-06-08,2941.9816,2950.0656,2934.2103,2937.7712,23112436000,274611815611.0000
2020-06-09,2939.5351,2957.1186,2932.9385,2956.1116,20904858500,251414696240.0000
2020-06-10,2951.2784,2951.3298,2934.8428,2943.7525,20792596900,243968496538.1000
2020-06-11,2939.7914,2952.6510,2912.1932,2920.8968,23372294700,289023256107.0000
2020-06-12,2876.8029,2930.2550,2872.6165,2919.7408,23600864200,274321726179.0000
2020-06-15,2908.2767,2922.5364,2890.0306,2890.0306,24320504600,293361556833.6000
2020-06-16,2912.8251,2931.7791,2909.1341,2931.7493,22331306500,270948558455.0000
2020-06-17,2932.6708,2936.6162,2919.0353,2935.8730,23465439100,278007110729.6000
2020-06-18,2929.8799,2942.8983,2920.1054,2939.3151,25869137700,289367727804.2000
2020-06-19,2938.7887,2973.3164,2935.8239,2967.6341,26431396100,319089106631.7000
2020-06-22,2966.9008,2983.4382,2959.0350,2965.2717,26788383400,346028748359.1000
2020-06-23,2960.8875,2972.4025,2949.8469,2970.6203,22521220800,305378770529.9000
2020-06-24,2972.9827,2982.9425,2971.2235,2979.5505,21320073200,297008784132.4000
2020-06-29,2973.0757,2977.9122,2951.7702,2961.5164,22062272900,293886016005.3000
2020-06-30,2965.1054,2990.8253,2965.1054,2984.6741,21495721400,297312328413.8000
2020-07-01,2991.1813,3026.1862,2984.9841,3025.9810,27331314000,369883802297.0000
2020-07-02,3023.7189,3092.4432,3021.6736,3090.5693,39112799600,478216482346.4000
2020-07-03,3103.9952,3152.8126,3103.9952,3152.8126,45879385100,535489334735.2000
2020-07-06,3187.8393,3337.2723,3187.8393,3332.8807,64387890600,724153675701.0000
2020-07-07,3380.9536,3407.0811,3336.2416,3345.3369,65784015900,793638372424.8000
2020-07-08,3337.5518,3421.5312,3327.7062,3403.4401,58708168500,696807634537.9000
2020-07-09,3403.4832,3456.9721,3393.6379,3450.5935,62000182300,751406830395.1000
2020-07-10,3418.9347,3433.1085,3372.5066,3383.3222,55612001100,703197550444.5000
2020-07-13,3379.3867,3458.7914,3369.0378,3443.2863,55800687500,717397053099.2000
2020-07-14,3435.0237,3451.2224,3366.0828,3414.6186,54321149200,707327005157.3000
2020-07-15,3422.0778,3432.4506,3345.7488,3361.3044,49203054200,674727409786.3000
2020-07-16,3356.3590,3373.5317,3209.7272,3210.0986,49061312300,679468340648.5000
2020-07-17,3214.4022,3252.7786,3181.2745,3214.1287,35965241300,486536118269.0000
2020-07-20,3243.9105,3314.1490,3220.6840,3314.1490,41855530600,544045656232.3000
2020-07-21,3330.5467,3336.6791,3300.5719,3320.8947,35925202900,488862180370.5000
2020-07-22,3315.1816,3381.9757,3311.7862,3333.1635,39333533500,540577040593.6000
2020-07-23,3306.1489,3336.3002,3257.8269,3325.1102,40704249900,546887089707.7000
2020-07-24,3310.6449,3319.1268,3184.9645,3196.7684,42705402600,584311865016.6000
2020-07-27,3210.3863,3221.9846,3174.6583,3205.2268,29931902100,402231919288.9000
2020-07-28,3226.1329,3245.2967,3208.4939,3227.9604,28937786100,389873696214.7000
2020-07-29,3221.9883,3294.5521,3209.9902,3294.5521,32492406200,453094399515.5000
2020-07-30,3299.5718,3312.4508,3282.1617,3286.8220,34070412100,476974005608.8000
2020-07-31,3280.7959,3333.7859,3261.6135,3310.0065,35375897900,495778040702.2000
2020-08-03,3332.1826,3368.1028,3327.6773,3367.9658,40746086700,572430759824.7000
2020-08-04,3376.4402,3391.0743,3352.5017,3371.6875,44232855100,604942141521.3000
2020-08-05,3363.3324,3383.6365,3333.8770,3377.5648,38582302700,526515054657.5000
2020-08-06,3380.7621,3392.7048,3334.3341,3386.4631,41530251000,570488248065.2000
2020-08-07,3370.5878,3374.1330,3307.7127,3354.0352,40392963300,561435649551.0000
2020-08-10,3341.5276,3399.9323,3335.0427,3379.2524,38137963000,527083944584.7000
2020-08-11,3379.4874,3409.0589,3336.0945,3340.2900,40045270600,514020764101.4000
2020-08-12,3327.4929,3335.7290,3263.2653,3319.2656,37832895900,480731246079.0000
2020-08-13,3328.1754,3338.1518,3309.4629,3320.7261,32429127800,387162288598.3000
2020-08-14,3315.6687,3362.0267,3302.7357,3360.0988,30599837600,367467421740.0000
2020-08-17,3373.9018,3450.8987,3369.3742,3438.8010,43459826000,537425075053.0000
2020-08-18,3441.9337,3456.7206,3432.6402,3451.0894,38072927500,493052155326.1000
2020-08-19,3444.5646,3454.4613,3406.1642,3408.1288,40572221400,498262158316.3000
2020-08-20,3385.9645,3394.5570,3352.7767,3363.8988,33560098200,401815550096.0000
2020-08-21,3380.2269,3393.9175,3358.0005,3380.6825,28748834000,361281752664.8000
